id,question,answer
0,Company name,CECO ENVIRONMENTAL CORP
1,Company year,2017
2,CIK,3197
3,When was the restructuring plan announced,During the second half of 2017
4,What are the management stated reasons (purpose) of restructuring,"To reduce costs by approximately $7 million per annum and refocus the Company’s portfolio, including exiting non-core and low critical mass products."
5,What savings does the company anticipate,Approximately $7 million per annum
6,What savings did the company accomplish in relation to restructuring performed in prior years,N/A
7,How much total restructuring charges were recorded,$1.9 million in 2017
8,"What is the breakdown (components) of the charges? (severance, lease termination)","Severance, facility exit, legal, and property, plant and equipment impairment"
9,How much reduction in employees? (either as a number of employees reduced or as a percentage of the workforce),N/A
10,"Were any facilities closed? If so, which ones? (List countries, states, or any other locations)",Certain leased facilities (specific locations not mentioned)
11,Was there a cost reduction? Yes or No.,Yes
12,"Did they mention when they want to complete the restructuring? If so, what was the timeline provided",N/A
